Parent App ID,From Application (Consumes),Consuming App Environment,parent.sys_class_name,Type,Child App ID,To Application (Provides),Providing App Environment,child.sys_class_name,Connection strength,sys_updated_on
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8CCF,8CCF-JOPDEGA HCEOSL ZETFIVLG PNHBALAFHJTWBE-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,HPU,HPU-HCEYUGA & WRQNUVA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,6CWC,6CWC-DFC JUUDOFLF YENKTBVBFOIR KOOKIG-WRQNUVAWBU,Production,Application Service,Always,12/13/2024 19:06
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,VPU,VPU-VNNSNX WAAWEGA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,DIOCF,DIOCF-DIO ZANOSYVFPL-WRQNUVAWBU,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BY,8BY-LBTYKXYOTL-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,ZAOV2,ZAOV2-Zeeerx Hsuormpca Tatuui Sapqutns (9)-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,JCKFR,JCKFR-JUUDOFLF JOPXEVAWBU PVT-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,LPUC,LPUC-LNV WRKFAVF ZCTEB ZETFIVL-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,DMDES,DMDES-DMI IUU-Wrqnuvawbu,Production,Application Service,Always,11/14/2021 12:25
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8DEM,8DEM-KAURBHHFQ JANV JEPDEK-WRQNUVAWBU,Production,Application Service,Always,11/14/2021 12:25
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8MEC,8MEC-KDV-JRQCS JHCXNXS WRQMELZWAN (ECR)-WRQNUVAWBU,Production,Application Service,Always,11/14/2021 12:20
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,LDTCF,LDTCF-Yevkie Zanos Mipknvl Kavkbtzs-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:18
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,KGCDE,KGCDE-KAVKGTAS-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:25
